"","Kitchen","Laundry","WH_AC","GAP","DateTime","Date"
"1",56.433,79.251,329.578,1149.8795,"2007-01-01 01:00:00",2007-01-01
"2",47.584,64.623,270.274,941.5321,"2007-02-01 00:00:00",2007-02-01
"3",60.758,104.675,288.235,976.5174,"2007-03-01 00:00:00",2007-03-01
"4",41.591,38.446,191.629,589.552533333333,"2007-04-01 00:00:00",2007-04-01
"5",76.235,72.151,228.526,733.235833333333,"2007-05-01 00:00:00",2007-05-01
"6",59.672,69.981,189.615,593.688233333333,"2007-06-01 00:00:00",2007-06-01
"7",43.052,55.734,154.973,496.875833333333,"2007-07-01 00:00:00",2007-07-01
"8",35.834,49.642,225.277,567.108566666667,"2007-08-01 00:00:00",2007-08-01
"9",53.258,75.273,224.435,697.305266666667,"2007-09-01 00:00:00",2007-09-01
"10",43.218,87.966,258.185,823.7618,"2007-10-28 02:00:00",2007-10-28
"11",50.823,73.687,299.69,931.9192,"2007-11-01 00:00:00",2007-11-01
"12",74.09,82.927,361.356,1208.8101,"2007-12-01 00:00:00",2007-12-01
"13",61.761,62.876,312.164,1085.08543333333,"2008-01-01 00:00:00",2008-01-01
"14",40.192,56.685,256.996,824.321533333333,"2008-02-01 00:00:00",2008-02-01
"15",62.568,79.219,277.537,923.250333333333,"2008-03-01 00:00:00",2008-03-01
"16",47.622,70.857,297.73,806.6246,"2008-04-01 00:00:00",2008-04-01
"17",53.084,58.888,290.044,759.243466666667,"2008-05-01 00:00:00",2008-05-01
"18",68.728,63.5,289.822,717.8899,"2008-06-01 00:00:00",2008-06-01
"19",47.313,43.553,227.057,587.681866666667,"2008-07-01 00:00:00",2008-07-01
"20",3.873,23.068,78.437,207.358166666667,"2008-08-01 00:00:00",2008-08-01
"21",51.856,44.666,286.485,711.9782,"2008-09-01 00:00:00",2008-09-01
"22",44.613,63.251,276.021,877.195466666667,"2008-10-26 02:00:00",2008-10-26
"23",58.067,55.858,279.715,997.300166666667,"2008-11-01 00:00:00",2008-11-01
"24",45.107,39.456,308.246,948.320866666667,"2008-12-01 00:00:00",2008-12-01
"25",74.65,72.984,328.521,1046.63843333333,"2009-01-01 00:00:00",2009-01-01
"26",47.099,50.681,296.735,838.851066666667,"2009-02-01 00:00:00",2009-02-01
"27",64.645,48.348,329.213,912.903,"2009-03-01 00:00:00",2009-03-01
"28",54.506,52.65,305.811,817.095366666667,"2009-04-01 00:00:00",2009-04-01
"29",43.047,50.094,312.27,755.282833333333,"2009-05-01 00:00:00",2009-05-01
"30",31.885,29.789,260.554,561.477733333333,"2009-06-01 00:00:00",2009-06-01
"31",18.226,42.418,187.949,460.083033333333,"2009-07-01 00:00:00",2009-07-01
"32",33.48,38.298,192.081,483.4393,"2009-08-01 00:00:00",2009-08-01
"33",51.653,45.985,295.843,708.7222,"2009-09-01 00:00:00",2009-09-01
"34",55.22,53.967,328.312,854.7793,"2009-10-25 02:00:00",2009-10-25
"35",60.445,53.473,335.532,917.721766666667,"2009-11-01 00:00:00",2009-11-01
"36",57.801,53.49,382.896,1013.81086666667,"2009-12-01 00:00:00",2009-12-01
